Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Optimiser son profil LinkedIn ,"Dans cette formation de Caroline Mignaux, vous apprendrez à optimiser votre profil LinkedIn pour le rendre encore plus attrayant et, ainsi, renforcer sa visibilité. Après avoir abordé les enjeux de votre profil, vous verrez comment vous démarquer avec des photos, des textes et des contenus multimédias. Puis, vous améliorerez votre interaction avec votre réseau, notamment en rejoignant des groupes et en utilisant le mode Créateur. Et, pour finir, vous aborderez les fonctions avancées proposées par votre profil LinkedIn.",Course,2025-10-12 11:57 UTC,N/A,false,N/A,
L'essentiel de Terraform pour AWS,"Cette formation vous initie à Terraform, un puissant outil d’Infrastructure as Code (IaC) qui facilite la gestion et le provisionnement automatisé des ressources sur AWS. Vous découvrirez les concepts fondamentaux de Terraform, y compris son installation et sa configuration. Apprenez à utiliser les commandes de base telles que terraform init, terraform plan, terraform apply et terraform destroy, tout en explorant leur application pratique. La formation aborde également l'utilisation et la création de modules Terraform pour une meilleure réutilisation du code. Enfin, vous comprendrez la gestion des espaces de travail et des fichiers d'état, ainsi que les distinctions entre l'état local et l'état distant.",Course,2025-06-26 08:14 UTC,N/A,false,N/A,
Guy Kawasaki - L'entrepreneuriat,"Dans cette série d'entretiens, Guy Kawasaki, auteur, entrepreneur, évangéliste et investisseur en capital risque, aborde différents aspects de l'entrepreneuriat. Vous découvrirez comment prioriser l'argumentaire, éviter les failles des business plans, développer le prototypage, anticiper les nouveaux marchés et tirer parti des réseaux sociaux. Au terme de ces entretiens, vous aurez acquis une vision plus pragmatique et plus dynamique de l'entrepreneuriat, et de ses liens avec les réseaux sociaux.",Course,2021-10-14 06:44 UTC,N/A,false,N/A,
Instant photo : La photographie pour le e-commerce,"Dans cette formation destinée à toutes les personnes qui vendent des produits en ligne, Sylvain Lepoutre va vous apprendre à réussir un shooting photo produit. Pour cela, il va vous aider à choisir le bon matériel et à bien préparer un shooting produit. Ensuite, vous découvrirez la différence à travers des exemples concrets entre un shooting photo de petit produit et de gros produit. Enfin Sylvain détaillera le post-traitement qu'il a effectué sur ses photographies. Sylvain vous invite à effectuer ce travail sur vos propres photographies et ne vous donne donc pas accès à ses photographies personnelles.
</br>
Cette formation a été créée par Sylvain Lepoutre. Nous sommes ravis d'héberger ce contenu sur notre plateforme.",Course,2022-06-16 15:05 UTC,N/A,false,N/A,
L'essentiel de .NET MAUI,"Dans cette formation, qui s’adresse aux développeurs, vous découvrirez la technologie .NET MAUI. Disponible à partir de .NET 6, le développement avec cette toute dernière innovation va vous permettre de déployer sur toutes les plateformes, Windows, Android, iOS et même macOS, à l’aide d’un seul code source. Christophe Gigax, architecte .NET et MVP Microsoft, vous présentera .NET MAUI et vous montrera pas-à-pas comment l’utiliser pour profiter de toutes ses possibilités. Vous verrez également comment déployer une application sur différentes plateformes puis comment la tester.",Course,2025-02-12 10:36 UTC,N/A,false,N/A,
L'essentiel de Jira,"Pour de nombreuses organisations, l'outil de suivi d'activité est aussi essentiel que le tableur ou le traitement de texte. Dans ce cours, découvrez Jira pour naviguer de manière intuitive et utiliser rapidement les fonctions de gestion de base. Étudiez les composants qui vont être utiles à vos besoins pour suivre des tâches, des processus, des projets ou leur qualité. Voyez également comment assurer l'assistance aux utilisateurs et administrer Jira. Sylvain Labasse, consultant et développeur, vous aide à vous approprier les technologies actuelles afin de gérer votre projet Jira et de mettre les outils au service de vos équipes.",Course,2023-01-03 13:52 UTC,N/A,false,N/A,
Diriger comme un patron / une patronne,"Un patron est une personne qui dirige et qui commande. Il peut être soit un directeur, soit un supérieur hiérarchique. Ses responsabilités sont de connaître la direction dans laquelle il dirige son équipe et d'exercer son autorité avec légitimité. Le chef devra faire ses preuves auprès des nouvelles équipes et prouver qu'il mérite son poste ainsi que le respect. Dans ce cours, Laurent Storch partage avec vous de nombreux conseils pratiques issus de tous les enseignements qu'il a suivis et reçus. Expérimenté en management depuis plus de 30 ans, il vous donne ses recommandations afin de vous aider à conquérir le cœur de vos équipes et à accomplir de grandes choses avec elles.",Course,2020-11-27 17:59 UTC,N/A,false,N/A,
L’intelligence artificielle pour les leaders et les managers,"L'intelligence artificielle (IA) est en train de révolutionner de nombreux domaines, dont celui du leadership et du management. Comme vous le verrez dans cette formation de Mustapha Kalfate, les leaders peuvent prendre, grâce à l'IA, des décisions plus éclairées, identifier de nouvelles opportunités et gérer leurs équipes de manière plus efficace. Mais cela passe également par la capacité à comprendre et à interpréter judicieusement les données fournies par l'IA, à mettre en place une éthique et à savoir répondre aux attentes parfois excessives des employés et des clients.
</p><p> Ce cours fait partie d’un <a href=""https://www.linkedin.com/learning/paths/l-intelligence-artificielle-pour-les-dirigeants-par-microsoft-et-linkedin"" target=""_blank"">certificat professionnel</a> de Microsoft.</p>",Course,2024-01-19 08:28 UTC,N/A,false,N/A,
Astuces nano pour obtenir une promotion,"Vous êtes excellent dans votre travail et vous êtes prêt à assumer plus de responsabilités. Cependant, bien faire son travail ne suffit pas pour obtenir une promotion. Dans ce cours, découvrez comment formuler efficacement une demande de promotion professionnelle. Abordez des astuces pour comprendre les codes professionnels, bien vous préparer en amont et mettre vos atouts en avant. Ainsi, vous serez capable de demander formellement votre promotion et de faire face à votre manager quelle qu'en soit la réponse. </br></br> Cette formation a été créée par Karine Trioullier. Nous sommes ravis d'héberger ce contenu sur notre plateforme.",Course,2025-08-18 08:12 UTC,N/A,false,N/A,
L'essentiel de Node.js,"Dans cette formation, qui s’adresse aux développeurs JavaScript de niveau débutant, vous allez découvrir Node.js, un environnement d’exécution JavaScript multiplateforme et open source. Nina Kapinga, développeuse full-stack et formatrice en programmation, vous présentera tout d’abord les bases de Nodes.js puis vous accompagnera pas à pas dans son installation. Vous découvrirez ensuite comment l’utiliser. À l’issue de ce cours, vous disposerez des connaissances pour créer et exécuter du code en Node.js, comprendre les grandes lignes de l’environnement d’exécution et créer des applications back-end avec Node.js.",Course,2024-11-21 16:59 UTC,N/A,false,N/A,
Manager en environnement multiculturel,"Lorsque vous travaillez dans un environnement international ou que vous devez gérer plusieurs personnes avec des cultures différentes, il est important de faire preuve d'empathie. Vous devez également vous renseigner sur les différentes façons d'approcher les cultures. Le management en environnement multiculturel est une expérience riche qui permet de découvrir des méthodes ainsi que des outils différents et performants. Dans ce cours, Nicolas Babin vous donne des exemples concrets du multiculturalisme ainsi que ses avantages. Vous verrez que le management interculturel n'est pas acquis sans travail et qu'en vous formant sur cet aspect, vous compléterez vos compétences.",Course,2019-05-15 13:26 UTC,N/A,false,N/A,
React : Design Patterns (2021),"Dans cette formation qui s'adresse aux développeurs d'application web, vous découvrirez l'usage des design patterns de la bibliothèque React. En compagnie de Sandy Ludosky, vous découvrirez en quoi consistent les design patterns, comment ils permettent de partager et composer le code, et comment assurer la maintenabilité et la scalabilité. Puis, toujours avec des exemples concrets, vous aborderez les props de rendu, la mise en œuvre des composants d'ordre supérieur (HOC) et des interfaces de programmation (API). À la fin de cette formation, vous aurez assimilé toutes les bonnes pratiques pour vos projets React.",Course,2022-06-15 13:27 UTC,N/A,false,N/A,
L'essentiel d'OpenAI et des modèles de langage GPT (2023),"Les modèles de langage GPT d'Open AI, ou ChatGPT, sont capables d'exécuter diverses tâches de traitement de texte de manière autonome comme générer, synthétiser, traduire du contenu et corriger les fautes d’orthographe. Dans ce cours, abordez des exemples pilotés par l'intelligence artificielle générative pour générer du contenu, des images et du code. Apprenez à parler aux machines à l'aide de la technologie du NLP (Natural Language Processing) qui permet aux appareils d'imiter le comportement humain et le langage naturel. 
Sandy Ludosky, développeuse web, vous présente les concepts clés de l'IA Générative et les méthodes pour utiliser les nombreuses capacités de ces modèles de langage et développer des applications de nouvelle génération commandées par l'IA.
</p><p> Note : Une nouvelle édition de ce cours est disponible <a href=""https://www.linkedin.com/learning/l-essentiel-d-openai-et-des-modeles-de-langage-gpt-pour-node-js/"" target=""_blank"">L'essentiel d'OpenAI et des modèles de langage GPT pour Node.js</a>.</p>",Course,2025-01-11 16:33 UTC,N/A,false,N/A,
ASP.NET : Niveau avancé,"Dans cette formation pour développeurs web Microsoft, Christophe Gigax vous propose d'aborder en profondeur le framework open source et modulaire ASP.NET Core. Après avoir passé en revue les prérequis et le projet, vous apprendrez à configurer le framework puis vous aborderez les vues Razor, les tag helpers ainsi que les view components. Vous verrez comment injecter des dépendances dans votre code, vous vous initierez aux middlewares puis vous effectuerez des optimisations côté client et côté serveur. Enfin, la formation se terminera sur les batteries de test, notamment avec les concepts de mock et de mock dynamique.",Course,2022-11-04 09:38 UTC,N/A,false,N/A,
L'essentiel d'Ansible,"Dans cette formation, qui s'adresse aux administrateurs système et infrastructure, vous découvrirez Ansible, une plateforme libre de configuration et de gestion d'un parc d'ordinateurs. Après vous avoir présenté les principes de base, Samir Lakhdari va vous guider, grâce à des exemples concrets, dans l'exécution des tâches et la mise en œuvre des playbooks, des rôles et des secrets. Puis, vous procéderez à la centralisation et à la gestion des réseaux. Enfin, vous aborderez la gestion de votre environnement avec des outils comme Syslog, AWX Tower et les modules Ansible.",Course,2022-06-13 15:11 UTC,N/A,false,N/A,
Maîtriser Excel par la pratique,"Si vous devez utiliser Excel au quotidien, ce cours est fait pour vous. À travers des exemples précis, Martial Auroy vous guide dans l'utilisation d'Excel et vous donne ses meilleures astuces. Vous aborderez ensemble des thèmes comme l’ajustement de vos impressions, la zone d’impression, les tableaux croisés dynamiques, la mise en forme conditionnelle, etc. Vous saurez ainsi, à la fin de cette formation très complète, comment vous organiser, gérer votre classeur, calculer, manipuler du texte et passer des éléments en tableau et même imprimer et exporter !",Course,2020-12-01 06:58 UTC,N/A,false,N/A,
Faire face aux microagressions au travail,"Toni Lowe est une conférencière prisée et une responsable RH spécialisée dans la diversité, l’inclusion, l’équité et l’appartenance. Dans ce cours, elle vous apprend à identifier et affronter les actes ou les comportements subtils du quotidien, volontaires ou non, qui perpétuent des préjugés concernant les groupes marginalisés sur le lieu de travail. Elle définit les microagressions et en identifie trois grands types : les microattaques, les micro-insultes et les micro-invalidations. Si « micro » signifie « petit », chaque nouvelle microagression a un impact fort sur l’expérience, la santé physique et le bien-être mental des employés. Découvrez les mesures à prendre pour créer des espaces sûrs sur votre lieu de travail afin de pouvoir gérer la situation et développer un système de soutien.",Course,2022-04-13 14:07 UTC,N/A,false,N/A,
JavaScript : La programmation orientée objet,"Dans cette formation destinée aux développeurs et aux programmeurs, vous aborderez la programmation orientée objet avec le langage JavaScript. Après avoir revu les notions de base, Damien Bruyndonckx vous propose de redécouvrir et d'apprendre à tirer parti des objets du JavaScript. Vous apprendrez également à manipuler et à mettre en œuvre les prototypes et l'héritage prototypique, avant de passer aux classes ES6 et aux méthodes associées. Pour finir, votre formateur vous présente un certain nombre de modules, plus particulièrement npm, Babel et Webpack.",Course,2022-10-06 13:39 UTC,N/A,false,N/A,
10 astuces nano à connaître absolument sur Excel,"Découvrez cette courte formation sur Excel comprenant dix petites astuces regroupées sous la forme de dix vidéos. Vous allez voir comment centrer du texte sur plusieurs colonnes, ajouter du texte à des nombres, masquer les 0 de vos tableaux, transformer vos tableaux en formulaires de saisie, regrouper plusieurs adresses e-mails dans une même cellule et autres astuces, de manière simple et efficace. </br></br> Cette formation a été créée par Dimby Rakotomalala. Nous sommes ravis d'héberger ce contenu sur notre plateforme.",Course,2025-08-29 14:32 UTC,N/A,false,N/A,
CSS : Apprendre le Grid Layout,"Dans cete formation destiné aux développeurs et développeuses web, vous apprendrez la mise en page responsive à l'aide des CSS Grids. Après une introduction aux concepts de base des CSS Grids, vous passerez rapidement aux techniques de conception de grilles, au placement des éléments dans ces grilles, à l'alignement des éléments dans les cellules de la grille, puis à des cas pratiques tels que la mise en page d'en-têtes et de pieds de page, la mise en place d'une grille réactive sans Media Queries, l'utilisation des CSS Grids pour superposer des éléments et même la création d'une galerie photos réactive. </br></br>

Ce cours est intégré à GitHub Codespaces, un environnement de développement cloud offrant les fonctionnalités de votre IDE préféré sans devoir configurer une machine locale. Avec GitHub Codespaces, vous pouvez vous exercer à partir de n'importe quelle machine, à tout moment.",Course,2024-04-19 09:06 UTC,N/A,false,N/A,
Conseils d'expert : L’amitié professionnelle,"Avec Laurent Choain, de Mazars, vous allez apprendre à développer les amitiés professionnelles. Si cela peut vous paraître, de prime abord, plutôt contre-intuitif, les bénéfices que vous allez en retirer sont considérables. Grâce à une technique d’art oratoire particulière, vous verrez d'abord, pourquoi vous intéresser au concept d’amitié professionnelle, puis découvrirez pourquoi y adhérer. Comprenez ensuite l’importance de la curiosité dans ce processus et passez à l’action !</br></br>Cette formation a été créée par Mazars et Laurent Choain. Nous sommes ravis d'héberger ce contenu sur notre plateforme.",Course,2025-03-18 14:52 UTC,N/A,false,N/A,
Les fondements de la gestion de projet agile,"Notre monde est de plus en plus complexe et il faut prendre les décisions de plus en plus vite. Pour être en adéquation avec son temps, les approches agiles apportent des réponses concrètes qui naissent dans l'univers informatique. Dans ce cours, Benoit Gantaume, développeur qui pratique l'agilité depuis son arrivée en France, vous aide à comprendre et à adopter ce type de démarche. Si vous êtes chef de projet ou si vous souhaitez comprendre les principes directeurs des approches agiles, vous découvrirez le cadre méthodologique de l'agilité afin de l'intégrer à vos projets.",Course,2022-04-20 14:10 UTC,N/A,false,N/A,
Gérer ses mots de passe pour protéger son identité numérique,"Dans cette formation ouverte à tout public, Pierre Cabantous aborde la sécurité des mots de passe, soulignant l'importance de les évaluer correctement. Il examine également la raison pour laquelle nous devenons des cibles et propose quelques conseils pour mieux se défendre. Les recommandations clés incluent le choix d'un mot de passe robuste, la prudence vis-à-vis des cadenas du navigateur, et l'adoption d'un gestionnaire ou coffre-fort de mots de passe. L'accent est mis sur le renforcement des comptes via une authentification forte, tout en abordant des approches alternatives sans mot de passe.",Course,2024-12-05 10:23 UTC,N/A,false,N/A,
Vendre à des cadres supérieurs / supérieures,"Vendre à des cadres supérieurs peut être un véritable défi. De nombreux commerciaux ont du mal à remporter des contrats avec ces clients, qui peuvent être intimidants compte tenu de leur statut. Pendant 10 ans, Mike Gamson a été en charge des ventes chez LinkedIn. Dans cette formation, il partage avec vous ses connaissances durement acquises, afin de vous aider à préparer un plan d’action efficace pour aborder les réunions avec des cadres supérieurs.",Course,2021-04-08 08:09 UTC,N/A,false,N/A,
Apprendre SQL avec ChatGPT,"Avec Rudi Bruchez, partez à la découverte du langage SQL et des bases de données à l'aide de ChatGPT et de ses prompts. Tout au long de cette formation, vous allez comprendre les types de données et les relations entre les tables. Vous apprendrez à faire des requêtes, en corrigeant les erreurs de syntaxe, en gérant les NULL, en filtrant les données, en utilisant les fonctions ainsi que les jointures. Vous aborderez l'ordre d'évaluation logique, les recherches de non correspondance, les syntaxes pour trier les données, es sous-requêtes, les fonctions de fenêtrage et les index. Enfin, vous verrez comment modifier les données en évitant les erreurs, toujours avec le soutien de ChatGPT !",Course,2025-01-02 11:05 UTC,N/A,false,N/A,
Cultiver sa marque employeur via la formation,"Travailler sa marque employeur est devenu une priorité pour les entreprises. Dans ce cours audio, abordez les leviers qui permettent de réaliser ce travail avec un focus spécifique sur la formation. Voyez comment renforcer l'engagement et la rétention des collaborateurs. À l'aide d'exemples concrets et des bonnes pratiques contemporaines, Soufyen Ammar, anciennement Directeur formation et développement RH, vous invite à entrer dans le monde de la marque employeur avec la volonté de comprendre et d'agir.",Course,2024-10-07 08:30 UTC,N/A,false,N/A,
WordPress 6 : L'éditeur Gutenberg,"Découvrez l'éditeur de contenu Gutenberg de WordPress pour créer, composer et mettre en forme les contenus de vos sites web. Au-delà des fonctionnalités usuelles du CMS (Content Management System), vous allez voir comment utiliser et gérer les blocs dans Gutenberg. Vous allez notamment étudier les blocs les plus courants qui permettent d'insérer du texte, des médias, des images, etc., et d'adapter leur affichage pour vos visiteurs. Christophe Aubry, expert en CMS et auteur de nombreux livres, vous accompagne dans la conception de vos articles et de vos pages pour un meilleur rendu.",Course,2025-06-10 08:19 UTC,N/A,false,N/A,
Gérer les hauts potentiels,"La gestion des hauts potentiels vous donne l'opportunité de cultiver les meilleurs talents de votre organisation. Les hauts potentiels sont les employés les plus susceptibles d'obtenir des postes de leadership et de réussir dans ce nouveau rôle. En aidant ces professionnels à progresser et à acquérir peu à peu de nouvelles responsabilités, vous aurez un impact significatif sur l'avenir de votre organisation. Sara Canaday, experte en leadership, vous aide à mieux comprendre l'état d'esprit et les motivations des hauts potentiels pour pouvoir répondre à leurs attentes et leur offrir le soutien et les opportunités de développement dont ils ont besoin.",Course,2020-06-01 16:30 UTC,N/A,false,N/A,
Dataiku pour le machine learning,"Avec Alison Patou, découvrez Dataiku, une plateforme open source d'analyse de données. Vous y aborderez l'installation et la configuration de Dataiku DSS, le prétraitement des données (importation, préparation, nettoyage et manipulation des séries temporelles), la modélisation (manipulation des caractéristiques, tests de régression, classification, clustering et configuration des séries temporelles), l'évaluation des modèles (métriques, matrice de classification, scores pour le clustering, détection de l'overfitting), le tuning des modèles (génération/réduction de variables, l'équilibrage des données, l'optimisation des hyperparamètres) et l'intégration de Python et de l'IA générative.",Course,2025-07-17 16:29 UTC,N/A,false,N/A,
Devenir une personne charismatique et influente,"Dans cette formation de Yann Piette, vous allez apprendre à développer votre charisme. Ainsi, vous verrez comment améliorer votre posture, poser votre regard et utiliser vos mains. Vous travaillerez également votre voix, à l'aide d'exercices faciles à réaliser chez soi, ainsi que la manière de vous tenir, d'occuper l'espace et de vous exprimer correctement et, surtout, au bon rythme. Tout cela vous demandera quelques efforts ainsi que des changements d'habitude, mais qui finiront par être payants. </br> Cette formation a été créée par Yann Piette. Nous sommes ravis d'héberger ce contenu sur notre plateforme.",Course,2025-02-04 17:06 UTC,N/A,false,N/A,
Les habitudes menant à la réussite,"Si vous pensez que progresser vous rend heureux ou si vous le vivez, dans tous les départements de votre vie, alors cette formation est pour vous. François Thibault aborde les pratiques de ceux qui réussissent et qui réalisent des choses extraordinaires. Au-delà des questions d'argent, de condition de marché ou de qualité de produit, les personnes heureuses, performantes et inspirées ont des pratiques similaires. Elles pensent, agissent et communiquent toutes de la même manière, souvent opposée à celle des autres. Ce cours va vous aider à décrypter les pratiques du leadership charismatique (PLC) et vous donner une idée des raisons pour lesquelles des personnes sont capables de réussir, là où d'autres échouent.",Course,2021-06-17 07:26 UTC,N/A,false,N/A,
Devenir un manager bienveillant / une manager bienveillante,"Avec Gaël Chatelain, partez à la découverte du management bienveillant. Au travers des principes abordés dans cette formation, vous saurez non seulement comment être à l'écoute, mais également comment prendre du temps et être acteur au sein de votre équipe. Vous verrez comment prendre des décisions, faire preuve de courage et même, parfois, savoir dire non. Enfin, la formation se conclue avec deux concepts importants : donner du sens au travail de toute la chaîne, collaborateurs et managers inclus, mais également être bienveillant avec soi-même.",Course,2021-04-22 15:25 UTC,N/A,false,N/A,
Utiliser l’intelligence artificielle dans sa stratégie L&D,"Découvrez comment intégrer l'intelligence artificielle dans la stratégie Learning and Development (L&D). Cette formation explore les concepts de l'IA, ses applications dans les entreprises et les outils disponibles comme l'IA générative. Elle couvre l'analyse des besoins de formation, la conception de programmes, l'optimisation post-formation et la gestion administrative. Apprenez à personnaliser les parcours d'apprentissage, à créer des capsules de formation avec les experts internes, à utiliser le coaching virtuel, et à développer des communautés apprenantes grâce à l'IA.",Course,2024-12-18 09:36 UTC,N/A,false,N/A,
Les fondements du management (2014),"Faire du management est une chose, mais adapter son style de management en fonction de son entreprise en est une autre. Dans cette formation, Britt Andreatta vous présente les différents styles de management à connaître. Vous serez alors en mesure de choisir votre stratégie de gestion, d’adapter les différents rôles de manager selon vos collaborateurs, et vous aurez ainsi les bases pour mener votre entreprise de manière performante.",Course,2019-03-21 18:52 UTC,N/A,false,N/A,
SEO : Comprendre les algorithmes de Google,"Grâce à cette formation, vous comprendrez à quoi servent et comment fonctionnent les algorithmes d'optimisation du moteur de recherche (SEO) Google, et quel est leur impact sur votre utilisation d'Internet. Tout d'abord, votre formatrice, Lucie Rondelet, vous fera découvrir l'histoire des moteurs de recherche et tentera de démystifier l'intelligence artificielle, qui occupe une place non négligeable. Puis, vous apprendrez en quoi consistent la SERP, le SEO et le SEA, et vous découvrirez que nous ne faisons plus de requêtes sur le web, mais que nous mettons en œuvre des intentions de recherche.",Course,2024-04-24 09:33 UTC,N/A,false,N/A,
Entrepreneur : Les compétences essentielles pour réussir,"Quand vous entreprenez, la fausse croyance serait de penser que certaines compétences sont innées pour réussir. Il est essentiel d'anticiper vos besoins en formation et en apprentissage en tant qu'indépendant, ou entrepreneur dans la prestation de services. La réalité est que vous devez porter de nombreuses casquettes. Dans cette formation, Pauline Sarda, entrepreneuse depuis plusieurs années et gérante de STEP 22, vous aide à identifier les compétences indispensables pour construire et faire grandir une entreprise. Ensemble, vous allez définir les cinq compétences techniques à acquérir ainsi que les six compétences humaines à travailler.",Course,2024-09-26 12:52 UTC,N/A,false,N/A,
